tau_f90.sh -g -O0 -DSETN=n -DSETRUN=10000 saxpy.F90 tools.o -o saxpy.exe
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;125;148;154;45396
50000;77548;181694;150409;140522
100000;155096;301451;202119;222216
150000;239062;416436;303292;193640
200000;262965;554941;404229;223997
250000;302285;691772;503750;253004
300000;353454;830935;602691;287254
350000;414881;969607;706309;305530
400000;472901;1108040;807191;336312
450000;532331;1245863;907554;324268
500000;591920;1385189;1009693;356966
550000;650697;1522561;1109687;357080
600000;709624;1662091;1211889;394822
650000;768543;1800913;1312419;418962
700000;828936;1942329;1413743;557482
750000;886821;2077089;1513269;461615
800000;945562;2213388;1612791;464924
850000;1004745;2351287;1713354;507186
900000;1063272;2489908;1815316;512815
950000;1122766;2629899;1917033;495385
1000000;1182000;2768238;2017730;501942
1050000;1242775;2907277;2118762;538703
1100000;1299457;3043940;2217167;621816
1150000;1358738;3187415;2317709;608499
1200000;1418340;3320593;2418356;623604
1250000;1476397;3458431;2518561;577509
1300000;1537496;3596723;2621785;628433
1350000;1598615;3741380;2725610;702764
1400000;1654067;3875729;2824010;631382
1450000;1714471;4014161;2925634;659881
1500000;1772693;4150723;3024523;727228
1550000;1831855;4289722;3126408;712887
1600000;1891356;4429053;3226236;679869
1650000;1949332;4564785;3328712;712179
1700000;2009264;4707261;3427914;730062
1750000;2084457;4852878;3530858;798176
1800000;2128903;4983932;3635860;743863
1850000;2186708;5120374;3728751;779538
1900000;2247185;5263752;3837782;824663
1950000;2304568;5397688;3935500;798809
2000000;2364367;5537030;4033339;923447
2050000;2422668;5673125;4133750;840861
