tau_f90.sh -g -O0 -DSETN=n -DSETRUN=1000 saxpy.F90 tools.o -o saxpy.exe
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;316;424;300;143494
50000;61826;139807;103352;156247
100000;121694;277659;203580;179129
150000;183389;417196;305571;211289
200000;240840;557923;405985;236395
250000;303338;694907;508475;284564
300000;364364;837225;609992;354624
350000;426187;974194;710016;303268
400000;482353;1110944;811492;349345
450000;543519;1249349;913385;347751
500000;607254;1389543;1016205;408744
550000;666036;1528187;1117024;395093
600000;726742;1665891;1220000;393218
650000;786174;1803285;1319934;425352
700000;849138;1944795;1424082;533272
750000;908671;2083124;1522844;452842
800000;975769;2224051;1630813;471728
850000;1033200;2362768;1728343;483134
900000;1100915;2504332;1836436;493266
950000;1158794;2641057;1934589;512375
1000000;1216146;2780217;2033569;569309
1050000;1279617;2919653;2138099;585623
1100000;1346642;3066801;2240921;563189
1150000;1397108;3201838;2341101;559995
1200000;1459362;3341923;2441609;594027
1250000;1521647;3477678;2551108;618491
1300000;1577339;3623849;2653863;675469
1350000;1660500;3765093;2756040;641319
1400000;1735787;3921829;2871334;683078
1450000;1765760;4038862;2956409;657939
1500000;1864100;4190297;3070442;767619
1550000;1880649;4317261;3161764;768404
1600000;1952572;4467276;3265820;723489
1650000;2046317;4611601;3382493;746758
1700000;2108261;4741738;3480679;776058
1750000;2166825;4870830;3561388;776722
1800000;2210372;5012681;3669165;842666
1850000;2256208;5141879;3766194;777866
1900000;2326391;5282301;3870301;821700
1950000;2395572;5425645;3980682;801473
2000000;2439848;5579177;4076709;875230
2050000;2496513;5698103;4180521;910929
