;SAXBY;SAXBY_DO;SAXBY_DO_CONCURRENT;SAXBY_DO_OMP
1;149;141;131;47784
50000;19515;19748;19570;137478
100000;39107;34068;31576;142200
150000;67871;45858;46199;193660
200000;64805;61489;61339;168659
250000;79133;75538;76072;173313
300000;92612;91505;92028;194552
350000;105706;105894;105992;184314
400000;119260;119226;119294;206326
450000;133923;133617;133502;282140
500000;149158;149078;149368;234441
550000;164331;164633;163864;223691
600000;180401;181521;180136;239581
650000;193954;193754;193833;258335
700000;208493;207488;209671;352435
750000;222555;221972;222155;394690
800000;238673;237671;237481;384684
850000;253644;253825;254076;293078
900000;268932;268950;269425;287216
950000;281355;281595;281959;329353
1000000;294707;294073;294418;299746
1050000;309196;307976;308220;344049
1100000;326776;326191;326637;329146
1150000;345208;343809;344380;359863
1200000;358741;358826;358660;350101
1250000;371133;369404;369349;354194
1300000;381103;381493;382254;380034
1350000;395691;397398;395863;389535
1400000;416408;415406;416437;394838
1450000;438246;437825;438451;465431
1500000;449070;447442;448721;528481
1550000;457013;456300;457314;400860
1600000;471202;469801;469675;402724
1650000;484842;488771;484799;428302
1700000;505104;503713;505063;434057
1750000;526042;526221;526539;536805
1800000;536196;536837;535636;491957
1850000;544753;542678;542962;499245
1900000;560185;557855;557423;617084
1950000;575782;574560;576613;563723
2000000;600134;596730;597162;496981
2050000;615160;614789;613762;529381
