tau_f90.sh -g -O3 -DSETN=n -DSETRUN=10000 saxpy_omp.F90 -o saxpy_omp.exe
;SAXPY;SAXPY_DO;SAXPY_DO_CONCURRENT;SAXPY_DO_OMP
1;1473;1490;1402;436933
50000;180244;184181;183839;1493302
100000;389628;332565;313500;1563524
150000;577799;459489;459868;1683096
200000;643214;609529;607060;1809877
250000;806030;755027;755060;1751011
300000;918082;916521;917679;2288317
350000;1055908;1053158;1052587;2175962
400000;1193100;1191592;1191838;2011841
450000;1337957;1333967;1332564;2455342
500000;1492272;1490461;1493821;3399556
550000;1643099;1645849;1638462;2633591
600000;1801221;1797164;1811733;2605848
650000;1935541;1935223;1935966;2989075
700000;2076237;2077552;2072847;2897350
750000;2214560;2214640;2213815;2855009
800000;2383568;2379997;2378023;2699268
850000;2541711;2542989;2543504;3350708
900000;2695419;2696582;2690610;3017142
950000;2810017;2816745;2815156;3059590
1000000;2946408;2941211;2944081;3795302
1050000;3086098;3083822;3085276;3085615
1100000;3262309;3260703;3259025;3273943
1150000;3431050;3424928;3425490;3383667
1200000;3577446;3578259;3572821;3695284
1250000;3694470;3689155;3688475;4103460
1300000;3829824;3807573;3827792;3845581
1350000;3962694;3960431;3960177;3682746
1400000;4149676;4150751;4148961;3806964
1450000;4363434;4358677;4355161;4488318
1500000;4473853;4464958;4465590;4330921
1550000;4567836;4566344;4563893;4168295
1600000;4701962;4697491;4696238;4820058
1650000;4850108;4848123;4842316;4316348
1700000;5047928;5043631;5040403;5274566
1750000;5259120;5252476;5252413;5001168
1800000;5366325;5359669;5358490;5100511
1850000;5432349;5425527;5431496;4932151
1900000;5582169;5567301;5568182;4754367
1950000;5764080;5745392;5747819;5025893
2000000;6028613;5980277;5975909;5327808
2050000;6148781;6136888;6144388;5077939
